,rotation,a,b,A,n2,a,b,c,V,n3,r,roundness,error,y1,y2,,Am,Ac,r,Ana,Ana,An,mu,r,g(mu),At
,,[pixel],[pixel],[mm2],,[mm],[mm],[mm],[mm3],,,,,c/a,b/a,,measured,computed,Ac/Am,measured,[mm2],[mm2],,,,[mm2]
1,0,603,526,316520,20.00,70.15,60.97,50.02,213390,10.00,5.00,0.10,49.21,0.71,0.87,1,55107.75,4216.020506,0.076505038,55107.75,4216.020506,21362.12863,1.319507911,37.0705035,1.221302464,21090.65496
2,0,460,550,252020,19.94,70.15,60.97,50.02,0,0.00,,,1949.70,0.71,0.87,2,43512.25,3006.205926,0.06908872,43512.25,3006.205926,,,,,
3,0,617,441,270800,17.86,70.15,60.97,50.02,0,0.00,,,3060.00,0.71,0.87,3,47855.55,3458.837882,0.072276634,47855.55,3458.837882,,,,,
51,50,592,520,295950,5.79,70.15,60.97,50.02,186650,5.15,17.00,0.34,103.12,0.71,0.87,1,50916.40,4074.52605,0.080023846,30819.86,2466.323911,10946.55572,1.236128747,35.45246702,1.071831829,16928.92719
52,50,448,538,228470,4.88,70.15,60.97,50.02,0,0.00,,,1829.40,0.71,0.87,2,39688.83,2905.314227,0.073202321,20897.53,1529.747906,,,,,
53,50,604,429,246410,5.05,70.15,60.97,50.02,0,0.00,,,2136.50,0.71,0.87,3,42863.57,3342.755339,0.077985925,18941.96,1477.206044,,,,,
101,100,596,512,269520,3.00,70.15,60.97,50.02,161930,3.38,26.90,0.54,65.36,0.71,0.87,1,46546.22,3865.886598,0.083054786,19493.57,1619.034485,5730.323921,1.152343074,33.81267801,0.931457037,13382.33292
102,100,444,533,216210,3.61,70.15,60.97,50.02,0,0.00,,,1847.20,0.71,0.87,2,37568.83,2756.545227,0.073373205,5916.76,434.1313994,,,,,
103,100,598,429,237200,3.92,70.15,60.97,50.02,0,0.00,,,2217.00,0.71,0.87,3,40838.81,3171.586807,0.077661105,10455.63,811.9960761,,,,,
151,150,575,492,244410,2.72,70.15,60.97,50.02,137200,2.54,36.39,0.73,68.12,0.71,0.87,1,42715.90,3631.080594,0.08500537,,0,166.482917,1.076532736,31.99547048,0.812931062,10457.80606
152,150,433,502,193680,3.13,70.15,60.97,50.02,0,0.00,,,1587.40,0.71,0.87,2,33900.44,2589.118337,0.076374175,1089.92,83.24145851,,,,,
153,150,587,423,213090,2.65,70.15,60.97,50.02,0,0.00,,,1885.80,0.71,0.87,3,37452.43,2978.951145,0.079539588,,0,,,,,
201,200,536,479,215150,2.43,63.52,58.36,49.94,115780,2.45,38.21,0.77,56.07,0.79,0.92,1,,,,,,,,,,
202,200,430,495,179060,2.46,63.52,58.36,49.94,0,0.00,,,834.49,0.79,0.92,2,,,,,,,,,,
203,200,537,421,193950,2.64,63.52,58.36,49.94,0,0.00,,,1071.60,0.79,0.92,3,,,,,,,,,,
251,250,494,444,185610,2.51,61.24,54.77,49.90,96964,2.23,42.12,0.84,113.43,0.81,0.89,1,,,,,,,,,,
252,250,420,454,159550,2.41,61.24,54.77,49.90,0,0.00,,,553.63,0.81,0.89,2,,,,,,,,,,
253,250,508,418,177130,2.39,61.24,54.77,49.90,0,0.00,,,467.13,0.81,0.89,3,,,,,,,,,,
331,330,431,402,147750,2.58,51.44,49.81,49.01,71018,2.17,43.71,0.89,69.75,0.95,0.97,1,,,,,,,,,,
332,330,414,408,135140,2.10,51.44,49.81,49.01,0,0.00,,,68.92,0.95,0.97,2,,,,,,,,,,
333,330,441,415,140800,1.90,51.44,49.81,49.01,0,0.00,,,110.98,0.95,0.97,3,,,,,,,,,,
351,350,423,405,140130,2.24,48.11,47.18,48.04,65534,2.33,40.51,0.84,16.15,1.00,0.98,1,,,,,,,,,,
352,350,397,401,128570,2.16,48.11,47.18,48.04,0,0.00,,,58.20,1.00,0.98,2,,,,,,,,,,
353,350,421,396,131710,2.03,48.11,47.18,48.04,0,0.00,,,76.16,1.00,0.98,3,,,,,,,,,,
401,400,393,376,121080,2.25,47.95,44.83,43.63,54341,2.23,,0.95,18.39,0.91,0.93,1,,,,,,,,,,
402,400,353,379,107250,2.11,47.95,44.83,43.63,0,0.00,,,77.02,0.91,0.93,2,,,,,,,,,,
403,400,396,358,117390,2.33,47.95,44.83,43.63,0,0.00,,,92.81,0.91,0.93,3,,,,,,,,,,
451,450,358,331,93131,2.00,45.62,40.24,40.23,44347,2.33,,,103.45,0.88,0.88,1,,,,,,,,,,
452,450,333,340,90935,2.12,45.62,40.24,40.23,0,0.00,,,117.04,0.88,0.88,2,,,,,,,,,,
